target_region,val_fold,source_region,seed_or_run,checkpoint_path,accuracy_macro,accuracy_micro,f1_macro,f1_micro,jaccard_macro,jaccard_micro,precision_macro,precision_micro,recall_macro,recall_micro
PASTIS_joint_T30UXV,1,PASTIS_joint_T31TFM,2026-05-24_14-34-09,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFM/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_14-34-09/last.pt,0.29706794023513794,0.6224374175071716,0.27109959721565247,0.6224374175071716,0.19884949922561646,0.4518396556377411,0.28074029088020325,0.6224374175071716,0.29706794023513794,0.6224374175071716
PASTIS_joint_T30UXV,1,PASTIS_joint_T31TFM,2026-05-24_15-47-10,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFM/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_15-47-10/last.pt,0.2961888015270233,0.6213098764419556,0.2662694752216339,0.6213098764419556,0.19418029487133026,0.45065224170684814,0.27133122086524963,0.6213098764419556,0.2961888015270233,0.6213098764419556
PASTIS_joint_T30UXV,1,PASTIS_joint_T31TFM,2026-05-24_16-59-54,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFM/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_16-59-54/last.pt,0.3014879524707794,0.599449872970581,0.26176655292510986,0.5994499325752258,0.18819253146648407,0.4280102550983429,0.27305710315704346,0.599449872970581,0.3014879524707794,0.599449872970581
PASTIS_joint_T30UXV,1,PASTIS_joint_T31TFM,2026-05-24_18-12-51,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFM/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_18-12-51/last.pt,0.31168732047080994,0.6125805974006653,0.271110862493515,0.6125805974006653,0.1961275041103363,0.4415251314640045,0.2944547235965729,0.6125805974006653,0.31168732047080994,0.6125805974006653
PASTIS_joint_T30UXV,1,PASTIS_joint_T31TFJ,2026-05-24_13-21-09,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFJ/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_13-21-09/last.pt,0.143525630235672,0.37094372510910034,0.13078930974006653,0.37094372510910034,0.08368448168039322,0.22770465910434723,0.17847496271133423,0.37094372510910034,0.143525630235672,0.37094372510910034
PASTIS_joint_T30UXV,1,PASTIS_joint_T31TFJ,2026-05-24_14-57-23,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFJ/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_14-57-23/last.pt,0.14451931416988373,0.37774986028671265,0.13085632026195526,0.37774986028671265,0.08361303806304932,0.23285548388957977,0.1810215413570404,0.37774986028671265,0.14451931416988373,0.37774986028671265
PASTIS_joint_T30UXV,1,PASTIS_joint_T31TFJ,2026-05-24_16-33-26,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFJ/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_16-33-26/last.pt,0.14549049735069275,0.3743642568588257,0.12670321762561798,0.3743642568588257,0.08121101558208466,0.23028790950775146,0.19656285643577576,0.3743642568588257,0.14549049735069275,0.3743642568588257
PASTIS_joint_T30UXV,1,PASTIS_joint_T31TFJ,2026-05-24_18-08-53,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFJ/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_18-08-53/last.pt,0.13902898132801056,0.38307031989097595,0.1283436417579651,0.38307031989097595,0.0822867900133133,0.23691217601299286,0.1838846504688263,0.38307031989097595,0.13902898132801056,0.38307031989097595
PASTIS_joint_T30UXV,1,PASTIS_joint_T31TFJ,2026-05-24_19-44-48,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFJ/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_19-44-48/last.pt,0.13749147951602936,0.40198248624801636,0.13197055459022522,0.40198248624801636,0.08605527132749557,0.25155073404312134,0.17968526482582092,0.40198248624801636,0.13749147951602936,0.40198248624801636
PASTIS_joint_T30UXV,1,PASTIS_joint_T32ULU,2026-05-24_13-21-15,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T32ULU/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_13-21-15/last.pt,0.31981146335601807,0.6573147773742676,0.3126992881298065,0.6573147773742676,0.22704200446605682,0.48955237865448,0.33073124289512634,0.6573147773742676,0.31981146335601807,0.6573147773742676
PASTIS_joint_T30UXV,1,PASTIS_joint_T32ULU,2026-05-24_14-22-35,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T32ULU/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_14-22-35/last.pt,0.32360678911209106,0.6375754475593567,0.3106658458709717,0.6375754475593567,0.2233194261789322,0.46797123551368713,0.3257313668727875,0.6375754475593567,0.32360678911209106,0.6375754475593567
PASTIS_joint_T30UXV,1,PASTIS_joint_T32ULU,2026-05-24_15-24-11,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T32ULU/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_15-24-11/last.pt,0.3162443935871124,0.6446642279624939,0.31018733978271484,0.6446642875671387,0.22423040866851807,0.47564905881881714,0.3262782692909241,0.6446642279624939,0.3162443935871124,0.6446642279624939
PASTIS_joint_T30UXV,1,PASTIS_joint_T32ULU,2026-05-24_16-25-56,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T32ULU/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_16-25-56/last.pt,0.3216248154640198,0.6533940434455872,0.3134058117866516,0.6533940434455872,0.22833509743213654,0.4852154850959778,0.32841917872428894,0.6533940434455872,0.3216248154640198,0.6533940434455872
PASTIS_joint_T30UXV,1,PASTIS_joint_T32ULU,2026-05-24_17-27-41,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T32ULU/LIANet_valFolds1_lr0.0001_batchsize16/2026-05-24_17-27-41/last.pt,0.3149871826171875,0.6441999077796936,0.31256186962127686,0.6441999077796936,0.2258966714143753,0.475143700838089,0.3298066556453705,0.6441999077796936,0.3149871826171875,0.6441999077796936
PASTIS_joint_T30UXV,2,PASTIS_joint_T31TFM,2026-05-24_19-25-56,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFM/LIANet_valFolds2_lr0.0001_batchsize16/2026-05-24_19-25-56/last.pt,0.3207288980484009,0.6226981282234192,0.2620946168899536,0.6226980686187744,0.19257916510105133,0.452114462852478,0.2687261402606964,0.6226981282234192,0.3207288980484009,0.6226981282234192
PASTIS_joint_T30UXV,2,PASTIS_joint_T31TFM,2026-05-24_20-39-51,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFM/LIANet_valFolds2_lr0.0001_batchsize16/2026-05-24_20-39-51/last.pt,0.30328476428985596,0.6292523741722107,0.26089170575141907,0.6292523741722107,0.19179224967956543,0.4590577185153961,0.2664499878883362,0.6292523741722107,0.30328476428985596,0.6292523741722107
PASTIS_joint_T30UXV,2,PASTIS_joint_T31TFM,2026-05-24_21-53-24,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFM/LIANet_valFolds2_lr0.0001_batchsize16/2026-05-24_21-53-24/last.pt,0.3134796619415283,0.6215640902519226,0.2599603533744812,0.6215640306472778,0.19029128551483154,0.4509197771549225,0.2629803419113159,0.6215640902519226,0.3134796619415283,0.6215640902519226
PASTIS_joint_T30UXV,2,PASTIS_joint_T31TFM,2026-05-24_23-06-41,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFM/LIANet_valFolds2_lr0.0001_batchsize16/2026-05-24_23-06-41/last.pt,0.31376418471336365,0.631216824054718,0.2634040117263794,0.6312167644500732,0.19329985976219177,0.4611518085002899,0.26717543601989746,0.631216824054718,0.31376418471336365,0.631216824054718
PASTIS_joint_T30UXV,2,PASTIS_joint_T31TFM,2026-05-25_00-20-02,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFM/LIANet_valFolds2_lr0.0001_batchsize16/2026-05-25_00-20-02/last.pt,0.3127465844154358,0.6214612126350403,0.25815731287002563,0.6214612126350403,0.1879464089870453,0.45081156492233276,0.2619094252586365,0.6214612126350403,0.3127465844154358,0.6214612126350403
PASTIS_joint_T30UXV,2,PASTIS_joint_T31TFJ,2026-05-24_21-21-14,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFJ/LIANet_valFolds2_lr0.0001_batchsize16/2026-05-24_21-21-14/last.pt,0.18890030682086945,0.4241386950016022,0.1390446275472641,0.4241386950016022,0.09115675091743469,0.26914718747138977,0.18988037109375,0.4241386950016022,0.18890030682086945,0.4241386950016022
PASTIS_joint_T30UXV,2,PASTIS_joint_T31TFJ,2026-05-24_22-57-44,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFJ/LIANet_valFolds2_lr0.0001_batchsize16/2026-05-24_22-57-44/last.pt,0.1717328131198883,0.4003099501132965,0.1262393593788147,0.4003099501132965,0.08128497004508972,0.2502421736717224,0.20407241582870483,0.4003099501132965,0.1717328131198883,0.4003099501132965
PASTIS_joint_T30UXV,2,PASTIS_joint_T31TFJ,2026-05-25_00-33-59,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFJ/LIANet_valFolds2_lr0.0001_batchsize16/2026-05-25_00-33-59/last.pt,0.19161146879196167,0.4266292154788971,0.145945742726326,0.4266292154788971,0.09529256820678711,0.2711561620235443,0.1926170140504837,0.4266292154788971,0.19161146879196167,0.4266292154788971
PASTIS_joint_T30UXV,2,PASTIS_joint_T31TFJ,2026-05-25_02-10-18,/home/user/results_local/finetuning_results_PASTIS_v2/PASTIS_joint_T31TFJ/LIANet_valFolds2_lr0.0001_batchsize16/2026-05-25_02-10-18/last.pt,0.1825171709060669,0.3851207196712494,0.13172860443592072,0.3851207196712494,0.08478782325983047,0.23848265409469604,0.2007773071527481,0.3851207196712494,0.1825171709060669,0.3851207196712494
